"","STArea","STSite","Gender"
"700014562","Gut","Stool","Female"
"700014724","Gut","Stool","Male"
"700014733","Oral","Tongue_dorsum","Female"
"700014739","Oral","Buccal_mucosa","Female"
"700014751","Oral","Supragingival_plaque","Female"
"700014778","Vaginal","Posterior_fornix","Female"
"700014803","Oral","Tongue_dorsum","Male"
"700014815","Oral","Supragingival_plaque","Male"
"700014827","Skin","Anterior_nares","Male"
"700014837","Gut","Stool","Male"
"700014929","Oral","Tongue_dorsum","Male"
"700014933","Oral","Buccal_mucosa","Male"
"700014941","Oral","Supragingival_plaque","Male"
"700015181","Gut","Stool","Female"
"700015199","Oral","Tongue_dorsum","Female"
"700015205","Oral","Buccal_mucosa","Female"
"700015217","Oral","Supragingival_plaque","Female"
"700015235","Skin","Anterior_nares","Female"
"700015244","Vaginal","Posterior_fornix","Female"
"700015250","Gut","Stool","Male"
"700015415","Gut","Stool","Female"
"700015430","Oral","Tongue_dorsum","Female"
"700015436","Oral","Buccal_mucosa","Female"
"700015552","Oral","Supragingival_plaque","Female"
"700015579","Vaginal","Posterior_fornix","Female"
"700015758","Skin","Anterior_nares","Female"
"700015981","Gut","Stool","Female"
"700016142","Gut","Stool","Male"
"700016610","Gut","Stool","Male"
"700033044","Vaginal","Posterior_fornix","Female"
"700033153","Gut","Stool","Female"
"700013715","Gut","Stool","Female"
"700013721","Oral","Tongue_dorsum","Female"
"700013723","Oral","Buccal_mucosa","Female"
"700013727","Oral","Supragingival_plaque","Female"
"700013733","Skin","Anterior_nares","Female"
"700013736","Vaginal","Posterior_fornix","Female"
"700014447","Skin","Anterior_nares","Male"
"700014954","Gut","Stool","Male"
"700015113","Gut","Stool","Female"
"700015131","Oral","Tongue_dorsum","Female"
"700015137","Oral","Buccal_mucosa","Female"
"700015149","Oral","Supragingival_plaque","Female"
"700015155","Skin","L_Retroauricular_crease","Female"
"700015176","Vaginal","Posterior_fornix","Female"
"700015245","Gut","Stool","Male"
"700015263","Oral","Tongue_dorsum","Male"
"700015269","Oral","Buccal_mucosa","Male"
"700015281","Oral","Supragingival_plaque","Male"
"700015299","Skin","Anterior_nares","Male"
"700015702","Gut","Stool","Female"
"700015784","Skin","Anterior_nares","Male"
"700015857","Gut","Stool","Male"
"700015863","Oral","Tongue_dorsum","Male"
"700015869","Oral","Supragingival_plaque","Male"
"700015922","Gut","Stool","Male"
"700015923","Gut","Stool","Male"
"700015941","Oral","Tongue_dorsum","Male"
"700015946","Oral","Buccal_mucosa","Male"
"700015959","Oral","Supragingival_plaque","Male"
"700015965","Skin","L_Retroauricular_crease","Male"
"700015968","Skin","R_Retroauricular_crease","Male"
"700015976","Skin","Anterior_nares","Male"
"700016210","Gut","Stool","Male"
"700016456","Gut","Stool","Male"
"700016482","Oral","Tongue_dorsum","Male"
"700016486","Oral","Buccal_mucosa","Male"
"700016542","Gut","Stool","Female"
"700016554","Oral","Supragingival_plaque","Female"
"700016563","Vaginal","Posterior_fornix","Female"
"700016715","Skin","Anterior_nares","Male"
"700016716","Gut","Stool","Male"
"700016717","Gut","Stool","Male"
"700016729","Oral","Tongue_dorsum","Male"
"700016741","Oral","Supragingival_plaque","Male"
"700016765","Gut","Stool","Male"
"700016783","Oral","Tongue_dorsum","Male"
"700016789","Oral","Buccal_mucosa","Male"
"700016801","Oral","Supragingival_plaque","Male"
"700016818","Skin","Anterior_nares","Male"
"700016960","Gut","Stool","Male"
"700016978","Oral","Tongue_dorsum","Male"
"700016985","Oral","Buccal_mucosa","Male"
"700016996","Oral","Supragingival_plaque","Male"
"700021128","Skin","Anterior_nares","Male"
"700021131","Oral","Tongue_dorsum","Male"
"700021133","Oral","Buccal_mucosa","Male"
"700021282","Oral","Tongue_dorsum","Male"
"700021293","Oral","Supragingival_plaque","Male"
"700021295","Gut","Stool","Male"
"700021297","Oral","Saliva","Male"
