"specie","metabolite usage","enzymes","ecosystem","pH","biotic relationship","cell arrangement","energy source","flagella","gram stain","growth in groups","halophilic","pathogenic","metabolism","mobility","motility","oxygen requirement","radioresistance","shape","sporulation","temperature range"
"Filifactor alocis",NA,NA,"hostassociated, host, hostassociated",NA,NA,NA,"chemoorganotroph",NA,"negative",NA,NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"strictanaero",NA,NA,NA,"mesophilic"
"Cycloclasticus sp. P1",NA,"alkaline phosphatase, esterase lipase  c8","environmental, sediment, freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,"pahdegrading",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Azorhizobium caulinodans",NA,"glucosidase",NA,NA,NA,"singles","methylotroph",NA,"negative",NA,NA,NA,"nitrogenfixation",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Buchnera aphidicola",NA,NA,"hostassociated, host, hostassociated, single",NA,"symbiotic","singles",NA,NA,"negative",NA,NA,"insectsgeneral",NA,NA,NA,NA,NA,NA,NA,"mesophilic"
"Burkholderia xenovorans","arabinose, glutamate, lactate, ketoglutaric acid, alanine, propionate, pyroglutamic acid","lipase  c14","host, freeliving",NA,NA,"singles","heterotroph","flagellarpresence","negative",NA,NA,NA,NA,"mobility",NA,NA,NA,"bacilli",NA,"mesophilic"
"Streptococcus gallolyticus","arbutin, fructose, lactose, dextrin, glucose, mannose",NA,"hostassociated, human, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"[Cellvibrio] gilvus","cellobiose, arabinose, salicin","glucosidase","freeliving",NA,NA,NA,"chemoorganotroph",NA,"positive","growth in groups",NA,NA,"cellulosedegrader",NA,NA,NA,NA,"bacilli",NA,"mesophilic"
"Porphyromonas cansulci",NA,NA,"hostassociated, host",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,"strictanaero",NA,NA,NA,NA
"Dictyoglomus thermophilum",NA,"alkaline phosphatase","freeliving, single",NA,NA,NA,NA,NA,"positive",NA,NA,NA,"cellulosedegrader",NA,NA,"strictanaero",NA,NA,NA,"thermophilic"
"Streptococcus sp. F0442","fructose, lactose, acetylglucosamine, dextrin, glucose, mannose, d xylopyranoside",NA,"hostassociated, human, oral, digestivesystem, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,NA
"Streptococcus sp. F0441","fructose, lactose, acetylglucosamine, dextrin, acetate, acetyl b d mannosamine, glucose, mannose, d xylopyranoside, galactose",NA,"hostassociated, human, oral, host, hostassociated",NA,NA,"chains, pairs","chemoorganotroph",NA,"positive","growth in groups",NA,"mammalsman, pathogenic in mammals",NA,NA,NA,"facultative",NA,"coccus",NA,"mesophilic"
"Sulfurospirillum deleyianum",NA,NA,"freeliving",NA,NA,"singles",NA,NA,"negative",NA,NA,NA,NA,NA,NA,NA,NA,"spirilla",NA,NA
